Country,Rank,Vaccinations per hundred,Total vaccinations,Daily vaccinations per million,Vaccines used
Bolivia,104.0,3.63,423842.0,1270.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Bangladesh,105.0,3.53,5821476.0,320.0,Oxford/AstraZeneca
Oman,106.0,3.35,171055.0,872.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Peru,107.0,3.18,1046978.0,378.0,"Pfizer/BioNTech, Sinopharm/Beijing"
El Salvador,108.0,3.08,200000.0,1233.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Malaysia,109.0,2.91,941200.0,753.0,"Pfizer/BioNTech, Sinovac"
Palestine,110.0,2.81,143142.0,1398.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Rwanda,111.0,2.69,348926.0,278.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Ecuador,112.0,2.59,457460.0,1315.0,Pfizer/BioNTech
Bahamas,113.0,2.54,10000.0,381.0,Oxford/AstraZeneca
South Korea,114.0,2.38,1217766.0,634.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Ghana,115.0,2.26,703752.0,579.0,Oxford/AstraZeneca
Kazakhstan,116.0,2.05,385281.0,637.0,Sputnik V
Senegal,117.0,2.05,343222.0,376.0,Sinopharm/Beijing
Myanmar,118.0,1.91,1040000.0,225.0,Oxford/AstraZeneca
New Zealand,119.0,1.87,90286.0,755.0,Pfizer/BioNTech
Eswatini,120.0,1.75,20262.0,2911.0,Oxford/AstraZeneca
Jamaica,121.0,1.61,47728.0,342.0,Oxford/AstraZeneca
Moldova,122.0,1.59,64179.0,590.0,Oxford/AstraZeneca
Zimbabwe,123.0,1.5,222733.0,863.0,Sinopharm/Beijing
Tunisia,124.0,1.28,150963.0,856.0,"Pfizer/BioNTech, Sinovac, Sputnik V"
Japan,125.0,1.26,1592517.0,560.0,Pfizer/BioNTech
North Macedonia,126.0,1.15,24020.0,1030.0,Pfizer/BioNTech
Malawi,127.0,1.07,204258.0,351.0,Oxford/AstraZeneca
Philippines,128.0,1.04,1139644.0,396.0,"Oxford/AstraZeneca, Sinovac"
Equatorial Guinea,129.0,1.0,14080.0,371.0,Sinopharm/Beijing
Togo,130.0,1.0,82753.0,327.0,Oxford/AstraZeneca
Ukraine,131.0,0.86,378269.0,282.0,Oxford/AstraZeneca
Thailand,132.0,0.8,555396.0,619.0,"Oxford/AstraZeneca, Sinovac"
Guatemala,133.0,0.78,139010.0,195.0,"Moderna, Oxford/AstraZeneca"
Kenya,134.0,0.78,422021.0,661.0,Oxford/AstraZeneca
Angola,135.0,0.75,245442.0,333.0,Oxford/AstraZeneca
Gambia,136.0,0.69,16735.0,432.0,Oxford/AstraZeneca
Paraguay,137.0,0.68,48684.0,67.0,Sputnik V
Guinea,138.0,0.58,76715.0,166.0,Sputnik V
Honduras,139.0,0.58,57639.0,81.0,"Moderna, Oxford/AstraZeneca"
Botswana,141.0,0.55,12945.0,688.0,Oxford/AstraZeneca
Brunei,142.0,0.53,2323.0,1328.0,Oxford/AstraZeneca
South Africa,143.0,0.49,288406.0,43.0,Johnson&Johnson
Sierra Leone,144.0,0.47,37680.0,73.0,Oxford/AstraZeneca
Nigeria,145.0,0.47,964387.0,218.0,Oxford/AstraZeneca
Georgia,146.0,0.46,18287.0,294.0,Oxford/AstraZeneca
Bosnia and Herzegovina,147.0,0.46,15000.0,80.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V"
Uzbekistan,148.0,0.44,148642.0,535.0,Oxford/AstraZeneca
Uganda,149.0,0.39,176469.0,220.0,Oxford/AstraZeneca
Cape Verde,150.0,0.39,2184.0,655.0,Oxford/AstraZeneca
Trinidad and Tobago,151.0,0.34,4777.0,68.0,Oxford/AstraZeneca
Venezuela,152.0,0.34,98000.0,421.0,Sputnik V
Afghanistan,153.0,0.31,120000.0,77.0,Oxford/AstraZeneca
Mauritius,154.0,0.3,3843.0,178.0,Oxford/AstraZeneca
Solomon Islands,155.0,0.29,2000.0,364.0,Oxford/AstraZeneca
Iraq,156.0,0.26,103006.0,271.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
Cote d'Ivoire,157.0,0.23,60823.0,84.0,Oxford/AstraZeneca
Gabon,158.0,0.18,3925.0,96.0,Sinopharm/Beijing
Mozambique,159.0,0.18,57305.0,35.0,Sinopharm/Beijing
Algeria,160.0,0.17,75000.0,85.0,Sputnik V
Iran,161.0,0.15,124193.0,45.0,Sputnik V
Sudan,162.0,0.15,63837.0,100.0,Oxford/AstraZeneca
Egypt,163.0,0.15,148987.0,23.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
Kosovo,164.0,0.13,2500.0,185.0,Oxford/AstraZeneca
Taiwan,165.0,0.1,24658.0,45.0,Oxford/AstraZeneca
Namibia,166.0,0.1,2526.0,38.0,Sinopharm/Beijing
Mauritania,167.0,0.06,2930.0,48.0,Sinopharm/Beijing
Vietnam,168.0,0.06,58037.0,9.0,Oxford/AstraZeneca
Syria,170.0,0.01,2500.0,4.0,Sputnik V
Kyrgyzstan,171.0,0.01,849.0,13.0,Sinopharm/Beijing
Mali,172.0,0.0,643.0,11.0,Oxford/AstraZeneca
Papua New Guinea,173.0,0.0,250.0,5.0,Oxford/AstraZeneca
